eid,First Name,Last Name,Gender,Department,Salary,E Mail,Date of Birth,Weight in Kgs.,Height in inches,Rating,Phone No. ,City,State,Zip
,,,,Research and Development,"$78,710 ",,,,,Poor,,,,
,,,,Accounting,"$86,470 ",,,,,Average,,,,
,,,,Research and Development,"$35,980 ",,,,,Good,,,,
,,,,Support,"$77,110 ",,,,,Average,,,,
,,,,Product Management,"$86,570 ",,,,,Very Poor,,,,
,,,,Business Development,"$117,850 ",,,,,Good,,,,
,,,,Marketing,"$116,500 ",,,,,Not Rated,,,,
,,,,Accounting,"$80,030 ",,,,,Poor,,,,
,,,,Support,"$58,940 ",,,,,Average,,,,
,,,,Human Resources,"$76,320 ",,,,,Good,,,,
,,,,Support,"$110,730 ",,,,,Very Good,,,,
,,,,Training,"$86,990 ",,,,,Poor,,,,
,,,,Legal,,,,,,Average,,,,
,,,,Marketing,"$74,410 ",,,,,Good,,,,
,,,,Marketing,"$87,610 ",,,,,Good,,,,
,,,,Business Development,"$103,340 ",,,,,Good,,,,
,,,,Business Development,"$46,470 ",,,,,Average,,,,
,,,,Legal,"$108,290 ",,,,,Very Poor,,,,
,,,,Engineering,"$78,640 ",,,,,Good,,,,
,,,,Sales,"$75,990 ",,,,,Average,,,,
,,,,Sales,"$55,280 ",,,,,Average,,,,
,,,,Accounting,"$98,010 ",,,,,Average,,,,
,,,,Human Resources,"$50,310 ",,,,,Average,,,,
,,,,Marketing,"$91,360 ",,,,,Average,,,,
,,,,Accounting,"$115,920 ",,,,,Good,,,,
,,,,Engineering,"$56,870 ",,,,,Poor,,,,
,,,,Support,"$75,970 ",,,,,Very Good,,,,
,,,,Accounting,"$52,270 ",,,,,Good,,,,
,,,,Business Development,"$39,780 ",,,,,Not Rated,,,,
,,,,Services,"$58,960 ",,,,,Average,,,,
,,,,Training,"$37,900 ",,,,,Good,,,,
,,,,Business Development,"$89,160 ",,,,,Good,,,,
,,,,Sales,"$45,510 ",,,,,Good,,,,
,,,,Product Management,"$66,610 ",,,,,Average,,,,
,,,,Sales,"$44,120 ",,,,,Very Poor,,,,
,,,,Services,"$32,270 ",,,,,Average,,,,
,,,,Engineering,"$37,130 ",,,,,Not Rated,,,,
,,,,Sales,"$45,590 ",,,,,Good,,,,
,,,,Accounting,"$94,070 ",,,,,Average,,,,
,,,,Services,"$89,690 ",,,,,Not Rated,,,,
,,,,Services,"$41,220 ",,,,,Average,,,,
,,,,Accounting,"$119,930 ",,,,,Average,,,,
,,,,Human Resources,"$60,580 ",,,,,Not Rated,,,,
,,,,Engineering,"$94,820 ",,,,,Average,,,,
,,,,Accounting,"$38,830 ",,,,,Good,,,,
,,,,NULL,"$91,450 ",,,,,Average,,,,
,,,,Engineering,"$28,870 ",,,,,Very Good,,,,
,,,,Marketing,"$70,760 ",,,,,Good,,,,
,,,,Product Management,"$106,170 ",,,,,Good,,,,
,,,,Research and Development,"$71,540 ",,,,,Average,,,,
,,,,Research and Development,"$104,680 ",,,,,Average,,,,
,,,,Training,"$63,370 ",,,,,Average,,,,
,,,,Accounting,"$106,460 ",,,,,Good,,,,
,,,,Business Development,"$106,400 ",,,,,Average,,,,
,,,,Marketing,"$36,920 ",,,,,Average,,,,
,,,,Services,"$42,160 ",,,,,Average,,,,
,,,,Human Resources,"$57,820 ",,,,,Average,,,,
,,,,Business Development,"$93,740 ",,,,,Average,,,,
,,,,Training,"$93,960 ",,,,,Poor,,,,
,,,,Marketing,"$107,220 ",,,,,Average,,,,
,,,,Training,"$90,150 ",,,,,Very Good,,,,
,,,,Engineering,"$94,020 ",,,,,Good,,,,
,,,,Marketing,"$42,970 ",,,,,Good,,,,
,,,,Legal,"$33,410 ",,,,,Average,,,,
,,,,Product Management,"$119,670 ",,,,,Average,,,,
,,,,Accounting,"$115,380 ",,,,,Average,,,,
,,,,Support,"$75,010 ",,,,,Good,,,,
,,,,Accounting,"$104,120 ",,,,,Good,,,,
,,,,Research and Development,"$82,680 ",,,,,Very Poor,,,,
,,,,Accounting,"$52,250 ",,,,,Very Poor,,,,
,,,,Sales,"$83,190 ",,,,,Average,,,,
,,,,Product Management,"$69,120 ",,,,,Average,,,,
,,,,Training,,,,,,Good,,,,
,,,,NULL,"$41,570 ",,,,,Average,,,,
,,,,Accounting,"$83,590 ",,,,,Poor,,,,
,,,,Research and Development,"$107,700 ",,,,,Very Good,,,,
,,,,Sales,"$102,130 ",,,,,Average,,,,
,,,,Legal,"$116,090 ",,,,,Average,,,,
,,,,Engineering,"$74,360 ",,,,,Good,,,,
,,,,Services,"$42,310 ",,,,,Not Rated,,,,
,,,,Engineering,"$78,440 ",,,,,Poor,,,,
,,,,Support,"$113,760 ",,,,,Good,,,,
,,,,Services,"$93,880 ",,,,,Average,,,,
,,,,Legal,"$85,000 ",,,,,Poor,,,,
,,,,Human Resources,"$72,550 ",,,,,Average,,,,
,,,,Legal,"$72,360 ",,,,,Poor,,,,
,,,,Accounting,"$114,890 ",,,,,Average,,,,
,,,,Marketing,"$107,580 ",,,,,Poor,,,,
,,,,Research and Development,"$36,040 ",,,,,Average,,,,
,,,,NULL,"$58,310 ",,,,,Average,,,,
,,,,Product Management,"$35,010 ",,,,,Average,,,,
,,,,Research and Development,"$74,280 ",,,,,Average,,,,
,,,,Research and Development,"$115,790 ",,,,,Very Poor,,,,
,,,,Support,"$38,330 ",,,,,Average,,,,
,,,,Business Development,"$70,270 ",,,,,Very Good,,,,
,,,,Support,"$37,060 ",,,,,Average,,,,
,,,,Training,"$53,870 ",,,,,Good,,,,
,,,,Human Resources,,,,,,Average,,,,
,,,,Research and Development,"$84,310 ",,,,,Good,,,,
,,,,Research and Development,"$58,100 ",,,,,Very Good,,,,
,,,,Support,"$99,780 ",,,,,Very Good,,,,
,,,,Accounting,"$119,020 ",,,,,Poor,,,,
,,,,Engineering,"$92,940 ",,,,,Good,,,,
,,,,Training,"$59,670 ",,,,,Not Rated,,,,
,,,,NULL,"$41,000 ",,,,,Not Rated,,,,
,,,,Marketing,"$77,470 ",,,,,Good,,,,
,,,,Engineering,"$45,650 ",,,,,Good,,,,
,,,,Engineering,"$88,430 ",,,,,Average,,,,
,,,,Human Resources,"$36,880 ",,,,,Good,,,,
,,,,Business Development,"$106,400 ",,,,,Poor,,,,
,,,,Services,"$111,820 ",,,,,Very Good,,,,
,,,,Human Resources,"$92,870 ",,,,,Average,,,,
,,,,Business Development,"$100,360 ",,,,,Average,,,,
,,,,Research and Development,"$46,750 ",,,,,Average,,,,
,,,,Business Development,"$48,950 ",,,,,Good,,,,
,,,,Sales,"$52,810 ",,,,,Poor,,,,
,,,,Legal,"$78,560 ",,,,,Very Poor,,,,
,,,,Support,"$75,280 ",,,,,Average,,,,
,,,,Training,"$93,130 ",,,,,Poor,,,,
,,,,Business Development,"$105,290 ",,,,,Very Poor,,,,
,,,,Training,"$108,340 ",,,,,Not Rated,,,,
,,,,Legal,"$31,090 ",,,,,Average,,,,
,,,,Business Development,"$101,420 ",,,,,Average,,,,
,,,,Business Development,"$54,780 ",,,,,Very Good,,,,
,,,,Support,"$63,560 ",,,,,Very Good,,,,
,,,,Research and Development,"$68,480 ",,,,,Poor,,,,
,,,,Legal,"$99,460 ",,,,,Average,,,,
,,,,Services,"$100,420 ",,,,,Poor,,,,
,,,,Human Resources,"$39,650 ",,,,,Average,,,,
,,,,Training,"$56,250 ",,,,,Average,,,,
,,,,Marketing,"$57,640 ",,,,,Average,,,,
,,,,Engineering,"$43,150 ",,,,,Very Good,,,,
,,,,Accounting,"$106,080 ",,,,,Not Rated,,,,
,,,,Sales,"$29,590 ",,,,,Good,,,,
,,,,Accounting,"$86,240 ",,,,,Average,,,,
,,,,Product Management,"$36,480 ",,,,,Average,,,,
,,,,Business Development,,,,,,Average,,,,
,,,,Marketing,"$48,590 ",,,,,Very Poor,,,,
,,,,Engineering,"$41,670 ",,,,,Average,,,,
,,,,Support,"$107,340 ",,,,,Very Good,,,,
,,,,Research and Development,"$62,280 ",,,,,Not Rated,,,,
,,,,Services,"$37,920 ",,,,,Not Rated,,,,
,,,,Support,,,,,,Average,,,,
,,,,Support,"$75,970 ",,,,,Average,,,,
,,,,Services,"$92,010 ",,,,,Very Poor,,,,
,,,,Human Resources,"$69,860 ",,,,,Poor,,,,
,,,,Training,"$59,560 ",,,,,Very Good,,,,
,,,,Engineering,"$114,810 ",,,,,Average,,,,
,,,,Product Management,"$66,870 ",,,,,Not Rated,,,,
,,,,Human Resources,"$113,790 ",,,,,Very Poor,,,,
,,,,Legal,"$38,250 ",,,,,Average,,,,
,,,,Support,"$48,090 ",,,,,Not Rated,,,,
,,,,Accounting,"$99,630 ",,,,,Average,,,,
,,,,Product Management,"$86,340 ",,,,,Poor,,,,
,,,,Sales,"$88,590 ",,,,,Average,,,,
,,,,Support,"$61,100 ",,,,,Average,,,,
,,,,Product Management,"$71,240 ",,,,,Average,,,,
,,,,Sales,"$114,650 ",,,,,Very Poor,,,,
,,,,Sales,"$76,210 ",,,,,Good,,,,
,,,,Human Resources,"$76,900 ",,,,,Very Good,,,,
,,,,Business Development,"$116,590 ",,,,,Very Good,,,,
,,,,Engineering,"$78,390 ",,,,,Average,,,,
,,,,Accounting,"$103,610 ",,,,,Poor,,,,
,,,,Engineering,"$98,110 ",,,,,Good,,,,
,,,,Human Resources,"$33,960 ",,,,,Not Rated,,,,
,,,,Business Development,"$112,110 ",,,,,Not Rated,,,,
,,,,Product Management,"$59,810 ",,,,,Good,,,,
,,,,Training,"$91,310 ",,,,,Average,,,,
,,,,Business Development,"$71,370 ",,,,,Average,,,,
,,,,Training,"$71,570 ",,,,,Not Rated,,,,
,,,,Product Management,"$119,670 ",,,,,Not Rated,,,,
,,,,Marketing,"$67,910 ",,,,,Average,,,,
,,,,Support,"$100,370 ",,,,,Average,,,,
,,,,Business Development,"$90,240 ",,,,,Poor,,,,
,,,,Engineering,"$75,870 ",,,,,Average,,,,
,,,,Training,"$58,740 ",,,,,Not Rated,,,,
,,,,Legal,"$32,500 ",,,,,Average,,,,
